month,zipcode,avg_response_hours
2024-01,00000,26.76
2024-01,02062,735.91
2024-01,10000,561.1
2024-01,10001,387.08
2024-01,10002,346.92
2024-01,10003,201.82
2024-01,10004,185.46
2024-01,10005,236.04
2024-01,10006,100.32
2024-01,10007,236.92
2024-01,10009,334.55
2024-01,10010,483.04
2024-01,10011,452.38
2024-01,10012,288.91
2024-01,10013,384.0
2024-01,10014,358.99
2024-01,10016,366.42
2024-01,10017,391.43
2024-01,10018,396.22
2024-01,10019,463.55
2024-01,10020,1401.56
2024-01,10021,535.21
2024-01,10022,405.47
2024-01,10023,544.95
2024-01,10024,456.05
2024-01,10025,793.52
2024-01,10026,365.21
2024-01,10027,368.79
2024-01,10028,927.48
2024-01,10029,393.98
2024-01,10030,356.53
2024-01,10031,311.61
2024-01,10032,356.75
2024-01,10033,289.54
2024-01,10034,302.69
2024-01,10035,361.86
2024-01,10036,350.68
2024-01,10037,456.22
2024-01,10038,330.83
2024-01,10039,296.28
2024-01,10040,260.72
2024-01,10041,201.22
2024-01,10044,141.34
2024-01,10045,0.27
2024-01,10065,467.5
2024-01,10069,365.31
2024-01,10075,309.11
2024-01,10103,1377.64
2024-01,10105,1329.16
2024-01,10106,0.73
2024-01,10107,418.87
2024-01,10111,0.29
2024-01,10112,0.0
2024-01,10118,0.2
2024-01,10119,1202.17
2024-01,10120,13.69
2024-01,10121,708.45
2024-01,10123,2311.06
2024-01,10128,355.66
2024-01,10151,26.01
2024-01,10153,992.18
2024-01,10154,0.6
2024-01,10155,24.96
2024-01,10162,0.51
2024-01,10165,20.31
2024-01,10166,30.28
2024-01,10167,1666.13
2024-01,10168,95.5
2024-01,10169,181.17
2024-01,10170,69.23
2024-01,10172,6.72
2024-01,10173,1352.93
2024-01,10178,33.74
2024-01,10179,33.09
2024-01,10271,1.6
2024-01,10278,318.82
2024-01,10279,314.5
2024-01,10280,295.99
2024-01,10282,78.73
2024-01,10301,346.22
2024-01,10302,378.56
2024-01,10303,703.46
2024-01,10304,280.64
2024-01,10305,272.98
2024-01,10306,422.89
2024-01,10307,313.53
2024-01,10308,652.82
2024-01,10309,268.05
2024-01,10310,201.26
2024-01,10312,445.61
2024-01,10314,379.21
2024-01,10451,326.39
2024-01,10452,293.24
2024-01,10453,290.49
2024-01,10454,330.83
2024-01,10455,243.62
2024-01,10456,272.69
2024-01,10457,243.55
2024-01,10458,312.11
2024-01,10459,291.25
2024-01,10460,297.53
2024-01,10461,167.03
2024-01,10462,208.41
2024-01,10463,204.44
2024-01,10464,115.44
2024-01,10465,135.93
2024-01,10466,172.78
2024-01,10467,218.99
2024-01,10468,251.36
2024-01,10469,217.07
2024-01,10470,143.01
2024-01,10471,197.02
2024-01,10472,234.21
2024-01,10473,292.17
2024-01,10474,289.1
2024-01,10475,225.07
2024-01,10522,24.15
2024-01,11001,428.93
2024-01,11004,422.52
2024-01,11005,2137.51
2024-01,11040,398.26
2024-01,11101,218.69
2024-01,11102,266.57
2024-01,11103,306.05
2024-01,11104,259.38
2024-01,11105,249.69
2024-01,11106,206.28
2024-01,11109,24.46
2024-01,11201,240.44
2024-01,11203,355.11
2024-01,11204,222.85
2024-01,11205,200.72
2024-01,11206,492.73
2024-01,11207,309.88
2024-01,11208,293.53
2024-01,11209,324.2
2024-01,11210,398.81
2024-01,11211,509.72
2024-01,11212,338.0
2024-01,11213,289.09
2024-01,11214,239.26
2024-01,11215,338.01
2024-01,11216,375.38
2024-01,11217,342.12
2024-01,11218,260.63
2024-01,11219,303.12
2024-01,11220,287.49
2024-01,11221,462.9
2024-01,11222,438.53
2024-01,11223,207.61
2024-01,11224,221.8
2024-01,11225,276.91
2024-01,11226,303.2
2024-01,11228,306.33
2024-01,11229,501.48
2024-01,11230,199.64
2024-01,11231,241.5
2024-01,11232,277.74
2024-01,11233,341.89
2024-01,11234,291.92
2024-01,11235,347.11
2024-01,11236,321.56
2024-01,11237,460.45
2024-01,11238,335.14
2024-01,11239,54.73
2024-01,11241,2.33
2024-01,11242,4732.69
2024-01,11249,462.19
2024-01,11251,46.25
2024-01,11354,390.49
2024-01,11355,271.87
2024-01,11356,148.75
2024-01,11357,434.29
2024-01,11358,293.97
2024-01,11359,6.37
2024-01,11360,88.19
2024-01,11361,328.97
2024-01,11362,431.07
2024-01,11363,513.31
2024-01,11364,572.87
2024-01,11365,260.46
2024-01,11366,56.94
2024-01,11367,229.56
2024-01,11368,177.37
2024-01,11369,331.56
2024-01,11370,396.16
2024-01,11372,283.75
2024-01,11373,248.88
2024-01,11374,183.54
2024-01,11375,285.99
2024-01,11377,177.44
2024-01,11378,209.66
2024-01,11379,334.29
2024-01,11385,258.81
2024-01,11411,313.54
2024-01,11412,327.68
2024-01,11413,205.65
2024-01,11414,489.21
2024-01,11415,281.76
2024-01,11416,252.65
2024-01,11417,190.56
2024-01,11418,212.13
2024-01,11419,266.2
2024-01,11420,311.39
2024-01,11421,104.06
2024-01,11422,320.52
2024-01,11423,289.17
2024-01,11426,502.69
2024-01,11427,278.45
2024-01,11428,412.18
2024-01,11429,232.13
2024-01,11430,1661.84
2024-01,11432,312.18
2024-01,11433,198.1
2024-01,11434,346.76
2024-01,11435,181.06
2024-01,11436,257.09
2024-01,11691,313.99
2024-01,11692,201.59
2024-01,11693,325.16
2024-01,11694,313.95
2024-01,11697,952.01
2024-01,11706,743.69
2024-01,11725,22.61
2024-01,11735,746.91
2024-01,11747,22.55
2024-01,11751,71.15
2024-01,11753,767.35
2024-01,11791,762.17
2024-01,12345,112.96
2024-01,33496,735.75
2024-01,56377,383.84
2024-01,84117,24.27
2024-01,ALL,306.9
2024-02,10000,266.51
2024-02,10001,428.05
2024-02,10002,301.51
2024-02,10003,456.14
2024-02,10004,189.17
2024-02,10005,139.11
2024-02,10006,104.34
2024-02,10007,152.07
2024-02,10009,279.33
2024-02,10010,461.46
2024-02,10011,373.64
2024-02,10012,285.46
2024-02,10013,376.65
2024-02,10014,327.93
2024-02,10016,417.44
2024-02,10017,511.0
2024-02,10018,253.1
2024-02,10019,501.76
2024-02,10020,722.32
2024-02,10021,310.91
2024-02,10022,530.75
2024-02,10023,602.78
2024-02,10024,358.23
2024-02,10025,739.74
2024-02,10026,283.22
2024-02,10027,283.63
2024-02,10028,462.38
2024-02,10029,330.62
2024-02,10030,267.31
2024-02,10031,280.89
2024-02,10032,260.36
2024-02,10033,285.85
2024-02,10034,187.41
2024-02,10035,421.68
2024-02,10036,414.79
2024-02,10037,275.07
2024-02,10038,174.51
2024-02,10039,319.57
2024-02,10040,238.18
2024-02,10041,178.83
2024-02,10044,179.57
2024-02,10045,0.46
2024-02,10048,1.07
2024-02,10065,463.77
2024-02,10069,90.36
2024-02,10075,347.79
2024-02,10103,2674.49
2024-02,10105,468.12
2024-02,10106,0.48
2024-02,10107,-6.08
2024-02,10110,457.05
2024-02,10111,0.48
2024-02,10112,744.75
2024-02,10115,0.37
2024-02,10118,20.89
2024-02,10119,1336.05
2024-02,10120,0.83
2024-02,10121,1036.68
2024-02,10122,0.28
2024-02,10123,132.58
2024-02,10128,317.13
2024-02,10151,7779.89
2024-02,10152,0.51
2024-02,10153,5475.48
2024-02,10162,44.41
2024-02,10165,13.28
2024-02,10166,0.51
2024-02,10167,1.63
2024-02,10168,-0.81
2024-02,10169,39.6
2024-02,10171,1252.4
2024-02,10172,33.43
2024-02,10173,0.4
2024-02,10174,1.51
2024-02,10176,284.0
2024-02,10178,24.0
2024-02,10179,33.65
2024-02,10271,1.54
2024-02,10278,7.07
2024-02,10279,102.42
2024-02,10280,508.57
2024-02,10281,120.47
2024-02,10282,133.5
2024-02,10301,251.37
2024-02,10302,288.22
2024-02,10303,367.16
2024-02,10304,276.37
2024-02,10305,229.62
2024-02,10306,519.7
2024-02,10307,447.09
2024-02,10308,405.04
2024-02,10309,539.94
2024-02,10310,509.9
2024-02,10312,552.67
2024-02,10314,536.29
2024-02,10451,261.49
2024-02,10452,445.93
2024-02,10453,302.0
2024-02,10454,303.33
2024-02,10455,305.25
2024-02,10456,237.2
2024-02,10457,221.24
2024-02,10458,219.91
2024-02,10459,305.56
2024-02,10460,261.54
2024-02,10461,86.34
2024-02,10462,213.38
2024-02,10463,156.86
2024-02,10464,112.26
2024-02,10465,198.37
2024-02,10466,164.81
2024-02,10467,172.29
2024-02,10468,194.94
2024-02,10469,210.04
2024-02,10470,104.91
2024-02,10471,188.18
2024-02,10472,202.0
2024-02,10473,194.03
2024-02,10474,304.96
2024-02,10475,161.56
2024-02,10804,29.01
2024-02,11001,473.21
2024-02,11004,416.61
2024-02,11005,125.96
2024-02,11040,159.96
2024-02,11101,155.78
2024-02,11102,270.75
2024-02,11103,326.18
2024-02,11104,288.19
2024-02,11105,180.83
2024-02,11106,190.96
2024-02,11109,84.12
2024-02,11201,242.09
2024-02,11203,274.13
2024-02,11204,548.22
2024-02,11205,224.87
2024-02,11206,305.7
2024-02,11207,329.69
2024-02,11208,255.31
2024-02,11209,295.73
2024-02,11210,313.63
2024-02,11211,448.08
2024-02,11212,304.43
2024-02,11213,288.77
2024-02,11214,228.44
2024-02,11215,282.82
2024-02,11216,374.15
2024-02,11217,242.54
2024-02,11218,219.22
2024-02,11219,227.97
2024-02,11220,280.41
2024-02,11221,364.4
2024-02,11222,277.61
2024-02,11223,389.46
2024-02,11224,275.8
2024-02,11225,260.73
2024-02,11226,278.73
2024-02,11228,234.69
2024-02,11229,274.59
2024-02,11230,235.67
2024-02,11231,272.06
2024-02,11232,226.22
2024-02,11233,302.72
2024-02,11234,199.37
2024-02,11235,350.55
2024-02,11236,225.29
2024-02,11237,282.73
2024-02,11238,391.43
2024-02,11239,39.33
2024-02,11241,745.29
2024-02,11249,530.44
2024-02,11251,-6.79
2024-02,11354,321.84
2024-02,11355,229.78
2024-02,11356,165.42
2024-02,11357,339.65
2024-02,11358,324.37
2024-02,11359,7.83
2024-02,11360,226.5
2024-02,11361,332.89
2024-02,11362,365.3
2024-02,11363,128.76
2024-02,11364,316.91
2024-02,11365,194.7
2024-02,11366,45.17
2024-02,11367,250.86
2024-02,11368,198.16
2024-02,11369,296.72
2024-02,11370,206.78
2024-02,11371,421.12
2024-02,11372,228.47
2024-02,11373,181.1
2024-02,11374,155.84
2024-02,11375,159.57
2024-02,11377,184.05
2024-02,11378,144.89
2024-02,11379,354.45
2024-02,11385,236.99
2024-02,11411,227.35
2024-02,11412,225.95
2024-02,11413,275.65
2024-02,11414,609.22
2024-02,11415,248.97
2024-02,11416,250.5
2024-02,11417,230.48
2024-02,11418,185.96
2024-02,11419,407.69
2024-02,11420,285.1
2024-02,11421,158.21
2024-02,11422,319.22
2024-02,11423,268.13
2024-02,11426,502.9
2024-02,11427,210.05
2024-02,11428,340.07
2024-02,11429,256.38
2024-02,11430,1404.7
2024-02,11432,240.48
2024-02,11433,165.42
2024-02,11434,263.51
2024-02,11435,237.0
2024-02,11436,150.9
2024-02,11553,783.89
2024-02,11561,913.93
2024-02,11572,2039.51
2024-02,11691,292.25
2024-02,11692,245.99
2024-02,11693,250.69
2024-02,11694,239.29
2024-02,11697,980.81
2024-02,11735,744.79
2024-02,12345,761.05
2024-02,15212,745.67
2024-02,17110,744.24
2024-02,17606,744.46
2024-02,19034,735.4
2024-02,33394,32.08
2024-02,77478,68.43
2024-02,ALL,285.34
2024-03,07083,746.12
2024-03,07110,30.78
2024-03,07662,915.79
2024-03,07728,23.77
2024-03,10000,492.15
2024-03,10001,412.45
2024-03,10002,224.48
2024-03,10003,535.42
2024-03,10004,71.46
2024-03,10005,209.49
2024-03,10006,137.29
2024-03,10007,273.73
2024-03,10009,789.88
2024-03,10010,380.14
2024-03,10011,432.22
2024-03,10012,329.34
2024-03,10013,228.47
2024-03,10014,312.1
2024-03,10016,385.94
2024-03,10017,476.63
2024-03,10018,346.62
2024-03,10019,442.17
2024-03,10020,1390.31
2024-03,10021,704.83
2024-03,10022,557.42
2024-03,10023,359.32
2024-03,10024,360.97
2024-03,10025,744.87
2024-03,10026,387.02
2024-03,10027,539.73
2024-03,10028,548.32
2024-03,10029,280.54
2024-03,10030,457.97
2024-03,10031,559.09
2024-03,10032,281.54
2024-03,10033,267.82
2024-03,10034,450.27
2024-03,10035,672.5
2024-03,10036,445.68
2024-03,10037,265.1
2024-03,10038,431.97
2024-03,10039,636.59
2024-03,10040,207.65
2024-03,10041,23.24
2024-03,10044,367.09
2024-03,10045,43.54
2024-03,10048,1174.22
2024-03,10055,25.45
2024-03,10065,423.54
2024-03,10069,164.27
2024-03,10075,964.74
2024-03,10103,4178.43
2024-03,10105,596.04
2024-03,10106,1104.52
2024-03,10107,-5.21
2024-03,10110,0.3
2024-03,10111,911.67
2024-03,10112,974.02
2024-03,10115,142.9
2024-03,10118,951.26
2024-03,10119,1977.43
2024-03,10120,0.35
2024-03,10121,942.51
2024-03,10123,3.18
2024-03,10128,283.7
2024-03,10151,7180.3
2024-03,10152,839.23
2024-03,10153,5808.46
2024-03,10154,9.83
2024-03,10158,0.19
2024-03,10165,2.45
2024-03,10167,20.45
2024-03,10168,587.67
2024-03,10169,33.88
2024-03,10170,3.87
2024-03,10171,19.81
2024-03,10172,40.24
2024-03,10174,0.71
2024-03,10175,-10.94
2024-03,10176,32.0
2024-03,10178,137.4
2024-03,10271,-0.25
2024-03,10278,51.54
2024-03,10279,100.88
2024-03,10280,385.44
2024-03,10281,88.49
2024-03,10282,172.71
2024-03,10301,314.54
2024-03,10302,416.93
2024-03,10303,355.88
2024-03,10304,295.41
2024-03,10305,266.3
2024-03,10306,406.07
2024-03,10307,412.05
2024-03,10308,297.37
2024-03,10309,202.89
2024-03,10310,334.36
2024-03,10312,452.02
2024-03,10314,272.54
2024-03,10451,220.09
2024-03,10452,221.03
2024-03,10453,267.89
2024-03,10454,256.5
2024-03,10455,264.01
2024-03,10456,201.8
2024-03,10457,213.54
2024-03,10458,213.37
2024-03,10459,301.97
2024-03,10460,254.75
2024-03,10461,230.46
2024-03,10462,175.86
2024-03,10463,205.36
2024-03,10464,280.94
2024-03,10465,145.37
2024-03,10466,159.43
2024-03,10467,184.76
2024-03,10468,196.69
2024-03,10469,204.59
2024-03,10470,97.7
2024-03,10471,184.39
2024-03,10472,242.2
2024-03,10473,172.2
2024-03,10474,271.3
2024-03,10475,169.71
2024-03,10573,1080.74
2024-03,10956,725.52
2024-03,11001,301.74
2024-03,11004,630.14
2024-03,11005,233.85
2024-03,11040,100.61
2024-03,11096,737.07
2024-03,11101,203.82
2024-03,11102,558.09
2024-03,11103,449.76
2024-03,11104,402.9
2024-03,11105,423.81
2024-03,11106,182.46
2024-03,11109,7.0
2024-03,11201,342.23
2024-03,11203,433.08
2024-03,11204,244.58
2024-03,11205,241.61
2024-03,11206,324.06
2024-03,11207,300.36
2024-03,11208,250.9
2024-03,11209,263.57
2024-03,11210,300.87
2024-03,11211,494.53
2024-03,11212,298.36
2024-03,11213,227.29
2024-03,11214,235.64
2024-03,11215,366.03
2024-03,11216,404.89
2024-03,11217,355.59
2024-03,11218,514.86
2024-03,11219,273.82
2024-03,11220,347.01
2024-03,11221,386.35
2024-03,11222,348.06
2024-03,11223,309.77
2024-03,11224,221.03
2024-03,11225,255.43
2024-03,11226,256.2
2024-03,11228,233.62
2024-03,11229,400.71
2024-03,11230,292.41
2024-03,11231,292.53
2024-03,11232,160.83
2024-03,11233,387.02
2024-03,11234,342.67
2024-03,11235,514.05
2024-03,11236,232.77
2024-03,11237,307.96
2024-03,11238,376.49
2024-03,11239,43.31
2024-03,11241,151.35
2024-03,11242,7.23
2024-03,11249,438.03
2024-03,11251,0.39
2024-03,11354,256.96
2024-03,11355,230.04
2024-03,11356,124.55
2024-03,11357,292.0
2024-03,11358,290.64
2024-03,11359,3.41
2024-03,11360,316.02
2024-03,11361,440.97
2024-03,11362,243.89
2024-03,11363,298.01
2024-03,11364,333.92
2024-03,11365,218.52
2024-03,11366,105.25
2024-03,11367,225.09
2024-03,11368,183.49
2024-03,11369,257.5
2024-03,11370,306.99
2024-03,11371,1023.77
2024-03,11372,282.66
2024-03,11373,171.36
2024-03,11374,193.16
2024-03,11375,271.52
2024-03,11377,161.96
2024-03,11378,194.25
2024-03,11379,417.66
2024-03,11385,269.12
2024-03,11411,258.54
2024-03,11412,257.87
2024-03,11413,335.2
2024-03,11414,353.83
2024-03,11415,278.89
2024-03,11416,286.61
2024-03,11417,302.37
2024-03,11418,309.05
2024-03,11419,296.88
2024-03,11420,356.99
2024-03,11421,102.28
2024-03,11422,279.79
2024-03,11423,229.42
2024-03,11426,575.95
2024-03,11427,245.22
2024-03,11428,229.13
2024-03,11429,180.77
2024-03,11430,1548.2
2024-03,11432,271.0
2024-03,11433,162.49
2024-03,11434,213.55
2024-03,11435,185.84
2024-03,11436,175.29
2024-03,11572,752.32
2024-03,11575,105.93
2024-03,11590,742.87
2024-03,11691,302.63
2024-03,11692,285.21
2024-03,11693,149.57
2024-03,11694,404.82
2024-03,11697,281.67
2024-03,19013,601.53
2024-03,56377,745.47
2024-03,63640,746.8
2024-03,92879,66.49
2024-03,ALL,309.14
2024-04,00083,30.47
2024-04,02184,743.39
2024-04,06468,1671.83
2024-04,07660,356.77
2024-04,10000,166.71
2024-04,10001,966.46
2024-04,10002,607.07
2024-04,10003,547.06
2024-04,10004,1063.14
2024-04,10005,955.69
2024-04,10006,176.85
2024-04,10007,662.19
2024-04,10009,441.55
2024-04,10010,640.81
2024-04,10011,437.72
2024-04,10012,539.66
2024-04,10013,840.09
2024-04,10014,782.27
2024-04,10016,509.32
2024-04,10017,427.9
2024-04,10018,2062.38
2024-04,10019,612.52
2024-04,10020,2584.89
2024-04,10021,534.48
2024-04,10022,638.77
2024-04,10023,365.96
2024-04,10024,455.07
2024-04,10025,707.81
2024-04,10026,532.98
2024-04,10027,605.85
2024-04,10028,865.59
2024-04,10029,362.07
2024-04,10030,321.75
2024-04,10031,512.16
2024-04,10032,384.9
2024-04,10033,336.77
2024-04,10034,375.83
2024-04,10035,808.4
2024-04,10036,881.43
2024-04,10037,666.18
2024-04,10038,1067.58
2024-04,10039,277.67
2024-04,10040,399.01
2024-04,10041,127.13
2024-04,10044,246.19
2024-04,10045,1265.7
2024-04,10065,503.77
2024-04,10069,128.86
2024-04,10075,560.09
2024-04,10103,4409.13
2024-04,10105,818.01
2024-04,10106,7.56
2024-04,10107,-0.3
2024-04,10110,29.6
2024-04,10112,106.54
2024-04,10115,257.49
2024-04,10118,1224.47
2024-04,10119,2320.89
2024-04,10120,0.5
2024-04,10121,914.32
2024-04,10123,8040.77
2024-04,10128,598.97
2024-04,10151,6532.85
2024-04,10153,6037.34
2024-04,10154,1.67
2024-04,10158,-5.74
2024-04,10162,35.02
2024-04,10167,-5.46
2024-04,10168,1884.73
2024-04,10169,4.81
2024-04,10170,6.87
2024-04,10172,0.0
2024-04,10173,0.46
2024-04,10174,0.23
2024-04,10175,0.94
2024-04,10176,0.17
2024-04,10177,3.99
2024-04,10178,0.24
2024-04,10179,111.64
2024-04,10271,247.21
2024-04,10278,10.85
2024-04,10279,204.77
2024-04,10280,183.47
2024-04,10281,208.78
2024-04,10282,108.54
2024-04,10301,446.88
2024-04,10302,416.0
2024-04,10303,220.15
2024-04,10304,357.73
2024-04,10305,308.82
2024-04,10306,568.08
2024-04,10307,345.32
2024-04,10308,559.34
2024-04,10309,321.19
2024-04,10310,558.75
2024-04,10312,579.43
2024-04,10314,578.11
2024-04,10451,560.42
2024-04,10452,260.04
2024-04,10453,256.27
2024-04,10454,1477.95
2024-04,10455,668.29
2024-04,10456,204.9
2024-04,10457,228.13
2024-04,10458,244.09
2024-04,10459,336.0
2024-04,10460,240.47
2024-04,10461,218.75
2024-04,10462,199.96
2024-04,10463,175.82
2024-04,10464,1207.32
2024-04,10465,242.39
2024-04,10466,220.18
2024-04,10467,237.73
2024-04,10468,178.8
2024-04,10469,220.76
2024-04,10470,177.46
2024-04,10471,259.63
2024-04,10472,218.19
2024-04,10473,207.08
2024-04,10474,880.04
2024-04,10475,290.75
2024-04,10601,863.31
2024-04,10701,745.28
2024-04,10705,815.4
2024-04,10803,381.57
2024-04,11001,705.19
2024-04,11004,562.64
2024-04,11005,20.45
2024-04,11021,-10.41
2024-04,11040,245.7
2024-04,11101,236.72
2024-04,11102,327.72
2024-04,11103,238.85
2024-04,11104,339.12
2024-04,11105,351.9
2024-04,11106,260.56
2024-04,11109,343.16
2024-04,11201,571.2
2024-04,11203,331.73
2024-04,11204,444.34
2024-04,11205,296.99
2024-04,11206,360.19
2024-04,11207,357.66
2024-04,11208,292.52
2024-04,11209,318.17
2024-04,11210,303.73
2024-04,11211,568.98
2024-04,11212,660.02
2024-04,11213,272.28
2024-04,11214,276.95
2024-04,11215,470.8
2024-04,11216,489.18
2024-04,11217,280.68
2024-04,11218,822.46
2024-04,11219,321.27
2024-04,11220,377.56
2024-04,11221,415.33
2024-04,11222,368.16
2024-04,11223,364.49
2024-04,11224,224.7
2024-04,11225,322.18
2024-04,11226,343.61
2024-04,11228,429.57
2024-04,11229,899.91
2024-04,11230,427.22
2024-04,11231,322.49
2024-04,11232,234.76
2024-04,11233,385.04
2024-04,11234,375.66
2024-04,11235,369.57
2024-04,11236,317.24
2024-04,11237,326.01
2024-04,11238,374.22
2024-04,11239,47.91
2024-04,11241,1377.44
2024-04,11242,0.67
2024-04,11249,471.38
2024-04,11251,2.68
2024-04,11354,364.84
2024-04,11355,322.05
2024-04,11356,226.99
2024-04,11357,523.47
2024-04,11358,495.02
2024-04,11359,0.03
2024-04,11360,356.18
2024-04,11361,218.79
2024-04,11362,349.55
2024-04,11363,832.27
2024-04,11364,456.3
2024-04,11365,302.59
2024-04,11366,103.28
2024-04,11367,220.38
2024-04,11368,178.29
2024-04,11369,319.32
2024-04,11370,219.13
2024-04,11371,1641.06
2024-04,11372,375.15
2024-04,11373,252.01
2024-04,11374,216.56
2024-04,11375,459.57
2024-04,11377,245.52
2024-04,11378,181.0
2024-04,11379,414.03
2024-04,11385,376.75
2024-04,11411,287.22
2024-04,11412,297.34
2024-04,11413,483.26
2024-04,11414,644.57
2024-04,11415,338.51
2024-04,11416,240.16
2024-04,11417,372.55
2024-04,11418,284.11
2024-04,11419,739.65
2024-04,11420,442.85
2024-04,11421,159.2
2024-04,11422,436.48
2024-04,11423,304.14
2024-04,11426,466.74
2024-04,11427,363.95
2024-04,11428,218.07
2024-04,11429,262.92
2024-04,11430,1867.99
2024-04,11432,274.45
2024-04,11433,215.56
2024-04,11434,324.62
2024-04,11435,186.12
2024-04,11436,285.74
2024-04,11691,271.82
2024-04,11692,312.44
2024-04,11693,284.63
2024-04,11694,437.45
2024-04,11697,217.95
2024-04,11703,735.92
2024-04,11709,794.29
2024-04,11726,27.05
2024-04,11791,99.39
2024-04,11801,794.54
2024-04,12345,0.0
2024-04,14221,735.39
2024-04,17110,741.46
2024-04,19034,745.4
2024-04,55343,763.87
2024-04,55439,410.73
2024-04,76096,237.14
2024-04,92108,783.05
2024-04,95128,21.22
2024-04,ALL,402.94
2024-04,NA,91.53
2024-05,08332,745.04
2024-05,10000,551.8
2024-05,10001,509.22
2024-05,10002,305.26
2024-05,10003,609.34
2024-05,10004,134.4
2024-05,10005,222.8
